Date,Open,High,Low,Close,Volume,Adj Close
2012-12-12,547.769974,547.999992,536.270004,539.00,121786000,71.942133
2012-12-11,539.770004,549.559975,537.370003,541.390015,148086400,72.261136
2012-12-10,525.00,538.510002,521.580002,529.819977,157621100,70.716845
2012-12-07,553.400009,555.199997,530.000008,533.250015,196760200,71.174663
2012-12-06,528.94001,553.31002,518.629974,547.239975,294303100,73.04195
2012-12-05,568.910004,569.249985,538.769981,538.790009,261159500,71.914105
2012-12-04,581.800018,581.800018,572.129997,575.849976,139267100,76.860623
2012-12-03,593.650009,594.590004,585.500023,586.190025,91070000,78.240744
2012-11-30,586.789986,588.400009,582.679985,585.279991,97829900,78.119278
2012-11-29,590.220024,594.250023,585.249977,589.359978,128674700,78.663848
2012-11-28,577.269981,585.800003,572.259987,582.940018,130216100,77.806954
2012-11-27,589.549995,590.419975,580.100006,584.780006,133332500,78.052544
2012-11-26,575.900017,589.999992,573.710007,589.530022,157644900,78.686544
2012-11-23,567.169991,572.000008,562.600006,571.500023,68206600,76.28002
2012-11-21,564.249977,567.369995,556.599976,561.700012,93250500,74.97198
2012-11-20,571.910019,571.95002,554.580009,560.909981,160688500,74.866531
2012-11-19,540.709999,567.499985,539.88002,565.730011,205829400,75.509877
2012-11-16,525.200005,530.000008,505.75,527.680008,316723400,70.431216
2012-11-15,537.530006,539.499985,522.620026,525.619987,197477700,70.156258
2012-11-14,545.500015,547.45002,536.180016,536.880005,119292600,71.65917
2012-11-13,538.910011,550.479996,536.359993,542.900009,133237300,72.46268
2012-11-12,554.149986,554.500008,538.649979,542.829994,128950500,72.453335
2012-11-09,540.420006,554.87999,533.719986,547.059998,232478400,73.017928
2012-11-08,560.629974,562.230011,535.290009,537.749985,264036500,71.775289
2012-11-07,573.839996,574.539986,555.750023,558.000008,198412200,74.478128
2012-11-06,590.230011,590.739983,580.090019,582.849976,93729300,77.441232
2012-11-05,583.520004,587.769981,577.599976,584.620003,132283900,77.67641
2012-11-02,595.890007,596.950005,574.749977,576.800011,149843400,76.637395
2012-11-01,598.219994,603.000023,594.170021,596.540009,90324500,79.260179
2012-10-31,594.879997,601.959999,587.70002,595.320007,127500800,79.098082
