Date,Open,High,Low,Close,Volume,Adj Close
2012-12-12,699.230011,703.510028,693.480029,697.55999,4847100,349.129124
2012-12-11,689.999992,701.920006,687.719987,696.880007,5369800,348.788792
2012-12-10,685.389983,691.650013,683.790022,685.419982,2730600,343.053044
2012-12-07,694.999992,696.880007,682.419994,684.210011,3834700,342.447453
2012-12-06,687.58999,695.610038,684.510004,691.130025,2921600,345.910924
2012-12-05,692.150001,694.500004,682.329996,687.819984,3721000,344.254246
2012-12-04,694.999992,695.50998,685.700036,691.030028,3979400,345.860875
2012-12-03,702.239998,705.890031,694.110014,695.249986,4380600,347.972966
2012-11-30,691.310021,699.220011,685.690036,698.370032,6320800,349.53455
2012-11-29,687.779985,693.900019,682.000004,691.890007,5547400,346.291295
2012-11-28,668.00998,684.909994,663.890019,683.670025,6077900,342.177189
2012-11-27,660.169988,674.999992,657.99998,670.710036,5012300,335.690709
2012-11-26,666.440018,667.000005,659.020016,661.150025,4404700,330.905919
2012-11-23,669.969993,669.999992,666.100026,667.969981,1843100,334.31931
2012-11-21,668.990017,669.799997,660.399983,665.870032,4220100,333.268284
2012-11-20,669.510004,677.99998,664.570003,669.969993,4173200,335.320317
2012-11-19,655.700036,668.920019,655.52998,668.210036,4731600,334.439457
2012-11-16,645.990029,653.01998,636.000029,647.18,6869500,323.913914
2012-11-15,649.999993,659.999992,643.900019,647.259998,3694100,323.953953
2012-11-14,660.660037,662.18,650.49998,652.549991,3333400,326.601597
2012-11-13,662.99998,667.59999,658.230036,659.050016,3185200,329.854863
2012-11-12,663.750023,669.799997,660.870032,665.900031,2808900,333.283299
2012-11-09,654.650001,668.340033,650.299985,663.029979,6221900,331.846837
2012-11-08,670.199987,671.490017,651.230023,652.289998,5188800,326.47147
2012-11-07,674.999992,678.230035,666.490017,667.120002,4460100,333.893895
2012-11-06,685.47998,686.500016,677.549991,681.720011,3162400,341.201207
2012-11-05,684.500004,686.860008,675.559979,682.959981,3268500,341.821812
2012-11-02,694.789997,695.549979,687.369995,687.919982,4644100,344.304295
2012-11-01,679.500004,690.900031,678.720023,687.58999,4096000,344.139134
2012-10-31,679.859996,681.000029,674.999992,680.299985,3070900,340.490483
2012-10-26,676.500017,683.029979,671.200024,675.149989,3897600,337.912907
2012-10-25,679.999992,682.000004,673.510029,677.759986,4797300,339.219212
2012-10-24,686.800009,687.000004,675.269986,677.299997,4988000,338.988988
2012-10-23,672.010004,687.329996,672.000004,680.349984,5827300,340.515507
2012-10-22,681.010028,684.630001,669.70,678.670025,8103000,339.674687
2012-10-19,705.580039,706.700011,672.000004,681.790009,22941400,341.236241
2012-10-18,755.540039,759.420005,676.000029,694.999992,24859900,347.847844
2012-10-17,743.950017,756.34002,740.259985,755.489979,4581200,378.123113
2012-10-16,740.129988,746.990004,736.460017,744.699999,4112200,372.722722
2012-10-15,741.940005,743.83002,730.700035,740.980029,6032100,370.860875
2012-10-12,751.850007,754.869994,744.100013,744.749998,4803500,372.747747
2012-10-11,752.899982,758.500028,750.289984,751.480016,4763000,376.116124
2012-10-10,741.860007,747.529991,738.290033,744.560002,4075700,372.652654
2012-10-09,759.669999,761.32002,742.529991,744.090014,6000300,372.417424
2012-10-08,761.000028,763.580026,754.150012,757.839983,3913200,379.299291
2012-10-05,770.710035,774.380006,765.009991,767.649987,5466300,384.209203
2012-10-04,762.749985,769.889994,759.400006,768.050039,4903400,384.409429
2012-10-03,755.720035,763.920018,752.199999,762.499991,4412100,381.631627
2012-10-02,765.199986,765.990028,750.269985,756.990004,5574800,378.873876
2012-10-01,759.050014,764.999991,756.210023,761.780009,6329600,381.271276
2012-09-28,754.150012,759.300008,751.150024,754.500003,5561400,377.627629
2012-09-27,759.949992,762.839983,751.650012,756.500016,7854300,378.628636
2012-09-26,749.849995,761.240022,741.000028,753.460029,11334400,377.107122
2012-09-25,753.050039,764.889994,747.659987,749.160012,12104800,374.954961
2012-09-24,731.000028,750.03999,730.249985,749.380006,7120400,375.065068
2012-09-21,732.209999,734.919993,730.119989,733.990016,12705400,367.36237
2012-09-20,724.470005,731.380019,721.220023,728.120037,5808900,364.424443
2012-09-19,717.499992,728.560027,716.410018,727.499992,6190400,364.11411
2012-09-18,707.779985,718.660024,706.780009,718.280034,4129400,359.499516
2012-09-17,708.110038,712.879983,704.999992,709.979992,3013500,355.345341
2012-09-14,709.600002,712.99998,707.010004,709.68,5231700,355.195195
2012-09-13,693.090039,709.000016,690.539979,706.040027,5312600,353.373387
2012-09-12,689.410006,694.909994,680.880032,690.880032,5279300,345.785802
2012-09-11,697.959981,700.650037,691.000029,692.19,3743800,346.441441
2012-09-10,709.759998,712.809984,698.390031,700.770034,5114800,350.735753
2012-09-07,699.999992,712.249998,697.669988,706.150025,6459500,353.428441
2012-09-06,685.96003,699.889995,684.729999,699.400007,6080900,350.050053
2012-09-05,679.999992,686.500016,679.140013,680.720036,3412900,340.700719
2012-09-04,684.550003,684.999992,673.500029,681.040028,3775400,340.860875
2012-08-31,684.000017,688.580027,680.039991,685.08999,4249900,342.887883
2012-08-30,684.240011,687.389995,680.179988,681.680012,3250500,341.181187
2012-08-29,677.369995,688.990017,676.150025,688.00998,5974600,344.349339
2012-08-28,664.999992,677.619989,664.739999,677.249998,4113000,338.963963
2012-08-27,662.98998,672.000004,659.240011,669.220011,5222100,334.944951
2012-08-24,675.600039,680.449981,674.080015,678.630026,2850300,339.654667
2012-08-23,674.27001,680.47998,671.000029,676.800009,3564800,338.738743
2012-08-22,667.379995,680.600038,666.700012,677.18,3814500,338.928929
2012-08-21,673.110038,677.99998,662.17,669.510004,4439900,335.090092
2012-08-20,675.49998,678.87002,672.659988,675.539979,3512600,338.108098
2012-08-17,674.120014,677.249998,671.700012,677.140001,4351000,338.908909
